# Generated by scripts/build-game-titles.mjs — do not edit by hand.
# Source: https://github.com/libretro/libretro-database (CC BY-SA 4.0).
# Generated on 2026-09-16 with 36858 serials.
6107762	SegaKara for Dreamcast
6107800	King of Fighters '99, The - Evolution
6107801	Visual Park
6107803	Super Runabout
6107804	Seaman Esa Disc - Kimos Shu no Youchuu Hojuu Kit
6107805	Dream Passport 2 with Guru Guru Onsen
6107807	Marvel vs. Capcom 2 - New Age of Heroes
6107808	Power Stone 2
6107810	Eternal Arcadia - Kuuzokuban
6107813	ISAO Promotion Disc by Seaman
6107816	Record of Lodoss War - The Advent of Cardice
6107819	Dream Passport 3
6107846	Zusar Vasar
6107851	Dream Passport 3
6107875	Dabitsuku - Derby-ba o Tsukurou!
6107877	Cool Cool Toon
6107878	Grandia II
6107881	CSK Kenkouhoken Kumiai Sen'you Dream Passport 3
6107883	Broadband Passport
6107894	Dream Passport 3 - Urban Style
6107899	F355 Challenge
6107913	Dead or Alive 2
6107917	Capcom vs. SNK - Millennium Fight 2000
6107933	Tricolore Crise - Art Palette
6107937	Guilty Gear X
6107958	Power Smash - Sega Professional Tennis
6107973	Power Smash - Sega Professional Tennis
6107982	Gunspike
6107990	Phantasy Star Online
6107992	GigaWing 2
6107993	Imakoso!! Dreamcast with Special GD!!
610799450	Sonic Adventure 2 - The Trial
6107996	Sakura Taisen Dream Passport 3
6108017	Aero to Jet de Dancing!
6108018	AM2 of CRI 2001 New Lineup Movie Collection
6108022	Sakura Taisen 3 - Paris wa Moeteiru ka
6108039	Gundam Battle Online - Trial Edition
6108057	Sonic Adventure 2
6108061	Dream Passport Premier
6108086	Capcom Taisen Fan Disc
6108087	Virtua Fighter History-VF4
6108088	Virtua Fighter 4 Passport - VF.NET
6108094	Dreamcast VM Data-shuu
6108099	Yu Suzuki Game Works Vol. 1
6108333	Sakura Taisen 4 - Koi seyo Otome
6108395	Chocolat - Maid Cafe Curio
67301243	Dreamkey
67302117	Dreamkey
67302290	Daytona USA 2001
67302830	Crazy Taxi 2
7061831	Metal Gear Solid - Portable Ops
7062159	Steel Horizon
711719604396	Retail Sampler No. 4
830001150	Dreamon Volume 5
830005250	NFL Blitz 2000
830015150	Grinch, The
830022350	SnoCross Championship Racing
832000150	Dreamon Volume 2
832000205	Dreamkey
832001150	Dreamon Volume 4
832001750	Dreamon Volume 7
832001950	Dreamon Volume 8
832002150	Dreamon Collection 2
832002205	Dreamkey Version 1.5
832002206	Dreamkey Version 1.5
832002209	Dreamkey Version 1.5
832002350	Dreamon Volume 9
832002550	Dreamon Volume 7 & 8
832002650	Dreamon Collection 3
832002750	Dreamon Volume 10
832002850	Dreamon Volume 10
832003109	Dreamon Volume 10
832003250	Dreamon Volume 11
832003550	Dreamon Volume 12
832003850	Dreamon Volume 13
832004050	Dreamon Collection 4
832004350	Dreamon Volume 14
832004546	Dreamkey Version 2.0
832004646	Dreamkey Versao 2.0
832004750	Dreamon Volume 15
832005150	Dreamon Volume 16
832005350	Dreamkey Version 2.0
832005450	Dreamon Volume 17
832005650	Dreamon Volume 18
832006050	Dreamon Volume 19
832006250	Dreamon Volume 20
832006450	Dreamon Volume 21
832006650	Dreamon Volume 22
832006850	Dreamkey 3.0
832006906	Dreamkey 3.1
832006946	Dreamkey 3.1
833000250	Dreamon Volume 1
833000305	Dreamkey
833000409	Dreamkey
833000871	Dreamon Volume 3
833001250	Dreamon Volume 6
833001809	Dreamkey Version 1.5
833002250	Dreamon Collection 3
833002609	Dreamon Volume 10
833002950	Dreamon Volume 13
833003050	Dreamon Collection 4
833004150	Dreamon Volume 17
9131366	Buzz! Concurso Universal
9142447	Patapon 2
9147541	Buzz! Que Sabes de tu Pais
9154655	SOCOM - U.S. Navy SEALs - Fireteam Bravo 3
9162315	Pursuit Force
9181712	Namco Museum Battle Collection
9271918	Disney-Pixar Cars 2
9473657	Buzz! The Schools Quiz
9482154	Wipeout Pulse
950000550	Virtua Fighter 3tb
950001150	Toy Commander
950001250	Sega Bass Fishing
950001350	Sega Rally 2
950001550	Dynamite Cop
950001750	F1 World Grand Prix for Dreamcast
950001850	Snow Surfers
950001950	Soulcalibur
950003250	Tee Off
950003750	Rayman 2 - The Great Escape
950006409	Resident Evil - Code - Veronica
9500064091	Resident Evil - Code - Veronica
950010350	Sega GT
952000750	Sega Worldwide Soccer 2000
952002550	Virtua Striker 2 Ver. 2000.1
952003150	Crazy Taxi
952003250	Red Dog - Superior Firepower
952003350	Zombie Revenge
952003650	NBA 2K
952003805	Legacy of Kain - Soul Reaver
952004150	Ecco the Dolphin - Defender of the Future
952004250	MSR - Metropolis Street Racer
952004450	ChuChu Rocket!
952004950	MDK2
952005250	Dead or Alive 2
952005650	Sega Worldwide Soccer 2000 - Euro Edition
952005805	Sword of the Berserk - Guts' Rage
952006350	4 Wheel Thunder
952006450	Wacky Races
952006650	V-Rally 2 - Expert Edition
952006750	Spirit of Speed 1937
952006950	Virtua Tennis - Sega Professional Tennis
952007009	Sydney 2000
952007250	Star Wars - Episode I - Racer
952007450	South Park Rally
952007550	Virtua Tennis - Sega Professional Tennis
952007650	Virtua Athlete 2K
952007950	F1 World Grand Prix II for Dreamcast
952008050	San Francisco Rush 2049
952008150	MSR Opel Challenge
952008350	Space Channel 5
952008650	WWF Royal Rumble
952008950	Sega Extreme Sports
952009850	Disney's Dinosaur
952009950	Ready 2 Rumble Boxing - Round 2
952010150	Jet Set Radio
952010250	Shenmue
9520102500	Shenmue
9520102501	Shenmue
9520102502	Shenmue
952010350	Le Mans 24 Hours
952010505	UEFA Dream Soccer
952010650	Quake III - Arena
952010850	Silent Scope
952010950	Planet Ring
952011250	Ultimate Fighting Championship
952011450	Tokyo Highway Challenge 2
952012150	Super Runabout - San Francisco Edition
952012250	Dave Mirra Freestyle BMX
952012450	Surf Rocket Racers
952012650	Phantasy Star Online
952013350	Grandia II
952013550	Fighting Vipers 2
952013650	Spawn - In the Demon's Hand
952014050	ECW Anarchy Rulz
952014150	StarLancer
952014350	Giant Killers
952014450	Championship Surfer
952014950	European Super League
952015250	Confidential Mission
952015450	Giant Killers
952015850	18 Wheeler - American Pro Trucker
952016150	Sonic Adventure 2
952016250	Outtrigger
952016350	Soldier of Fortune
952016850	Virtua Tennis 2 - Sega Professional Tennis
952017050	Shenmue II
9520170500	Shenmue II
9520170501	Shenmue II
9520170502	Shenmue II
9520170503	Shenmue II
952017450	Flintstones, The - Viva Rock Vegas
952017650	Phantasy Star Online Ver. 2
952017950	Conflict Zone
952018150	Freestyle Scooter
9611073	LocoRoco
9620587	Tekken - Dark Resurrection
9644064	Lemmings
9680673	Ridge Racer 2
9686477	MotoGP
9696087	SOCOM - U.S. Navy SEALs - Fireteam Bravo 2
9729624	Pet in TV
9729723	Pet in TV
9781554	Buzz! Brain Bender
9978053	Buzz! Master Quiz
9986553	Everybody's Golf 2
9991250	Echochrome
9991656	Echochrome
ABCD01234	Heatseeker
ABCD01234561	Elder Scrolls Travels, The - Oblivion
ALCH00035	Soreyuke! Burunyanman Portable - Torimodose! Ai to Seigi to Kibou no Tsunyakan
ALCH00044	Saki - Achiga-Hen - Episode of Side-A Portable
BB0001	Xeno Crisis
BBBMPGCRJJPN	Xeno Crisis
BBBMPGCRPEUR	Xeno Crisis
BCES01117	PSP Go Promotion Disc
CF0020033	My Merry May with Be
CF0020068	Little Witch Parfait - Kuro Neko Mahouten Monogatari
DCGAMESHARKCDXI20802	GameShark CDX
DK10794	Classic Card Games
DLDOL301EUSA	Nintendo GameCube Service Disc Version 1.0-03
DLDOLD23JDIS	Game Taikai Yuushou Kinen - Tokusei SmaBro DX Movie Disc
DLDOLD24JDIS	SmaBro DX Event-you Disc
DLDOLD29JDIS	Gekkan Nintendo Tentou Demo 2002.5.1
DLDOLD32JDIS	Gekkan Nintendo Tentou Demo 2002.6.1
DLDOLD33JDIS	Gekkan Nintendo Tentou Demo 2002.7.1
DLDOLD34JDIS	Gekkan Nintendo Tentou Demo 2002.7.10 Zoukangou
DLDOLD37JDIS	Gekkan Nintendo Tentou Demo 2002.8.1
DLDOLD38JDIS	Gekkan Nintendo Tentou Demo 2002.9.1
DLDOLD39JDIS	Gekkan Nintendo Tentou Demo 2002.10.1
DLDOLD42J0DIS	Gekkan Nintendo Tentou Demo 2002.11.1
DLDOLD42J1DIS	Gekkan Nintendo Tentou Demo 2002.11.1
DLDOLD43EUSA	Legend of Zelda, The - Ocarina of Time & Master Quest
DLDOLD43JDIS	Zelda no Densetsu - Toki no Ocarina GC
DLDOLD43PEUR	Legend of Zelda, The - Ocarina of Time & Master Quest
DLDOLD43PEUR1	Legend of Zelda, The - Ocarina of Time & Master Quest
DLDOLD43UAUS	Legend of Zelda, The - Ocarina of Time & Master Quest
DLDOLD43WKOR	Legend of Zelda, The - Ocarina of Time & Master Quest
DLDOLD44JDIS	Gekkan Nintendo Tentou Demo 2002.12.1
DLDOLD46J0DIS	Gekkan Nintendo Tentou Demo 2003.1.1
DLDOLD46J1DIS	Gekkan Nintendo Tentou Demo 2003.1.1
DLDOLD47JDIS	Gekkan Nintendo Tentou Demo 2003.2.1
DLDOLD48JDIS	Gekkan Nintendo Tentou Demo 2003.3.1
DLDOLD49JDIS	Gekkan Nintendo Tentou Demo 2003.4.1
DLDOLD4BDNOE	Resident Evil 4
DLDOLD4BEUSA	Resident Evil 4
DLDOLD4BPEUR	Resident Evil 4
DLDOLD4BPUKV	Resident Evil 4
DLDOLD4BUAUS	Resident Evil 4
DLDOLD52JDIS	Gekkan Nintendo Tentou Demo 2003.5.1
DLDOLD53JDIS	Nintendo GameCube Soft e-Catalog 2003 Haru
DLDOLD54JDIS	Gekkan Nintendo Tentou Demo 2003.6.1
DLDOLD55JDIS	Nintendo GameCube Soft e-Catalog 2003 Enjoy Plus-ban
DLDOLD56EUSA	Interactive Multi-Game Demo Disc Version 35
DLDOLD56JJPN	Pokemon Channel - Bangumi Kakuchou Pack
DLDOLD57EUSA	Interactive Multi-Game Demo Disc Version 34
DLDOLD58EUSA	Interactive Multi-Game Demo Disc Version 33
DLDOLD59EUSA	Interactive Multi-Game Demo Disc Version 32
DLDOLD59JDIS	Gekkan Nintendo Tentou Demo 2003.7.1
DLDOLD62EUSA	Interactive Multi-Game Demo Disc Version 31
DLDOLD62J0DIS	Gekkan Nintendo Tentou Demo 2003.8.1
DLDOLD62J1DIS	Gekkan Nintendo Tentou Demo 2003.8.1
DLDOLD63EUSA	Interactive Multi-Game Demo Disc Version 30
DLDOLD63JDIS	Gekkan Nintendo Tentou Demo 2003.9.1
DLDOLD64EUSA	Interactive Multi-Game Demo Disc Version 29
DLDOLD64JDIS	Gekkan Nintendo Tentou Demo 2003.10.1
DLDOLD65EUSA	Interactive Multi-Game Demo Disc Version 28
DLDOLD65J0DIS	Gekkan Nintendo Tentou Demo 2003.11.1
DLDOLD65J1DIS	Gekkan Nintendo Tentou Demo 2003.11.1
DLDOLD66EUSA	Interactive Multi-Game Demo Disc Version 27
DLDOLD66JDIS	Baten Kaitos - Owaranai Tsubasa to Ushinawareta Umi
DLDOLD67EUSA	Interactive Multi-Game Demo Disc Version 26
DLDOLD67J0DIS	Gekkan Nintendo Tentou Demo 2003.12.1
